M,K,n_seeds,instances,beam_width,greedy_pre_mean,greedy_pre_std,greedy_pp_mean,greedy_pp_std,beam_pre_mean,beam_pre_std,beam_pp_mean,beam_pp_std,port_pp_mean,port_pp_std,d_raw,d_final,d_port,recovery_pct,port_pp_seed0,port_pp_seed1,port_pp_seed2
80,5,3,30,5,-157.08893983629014,3.2071377846243614,-175.67955152384442,2.351071459980773,-161.844464114719,1.949783876627989,-179.73239126586915,0.6688655164384036,-180.10384961954753,0.542192125659841,-4.755524278428851,-4.05283974202473,-4.424298095703108,25.580246407989335,-180.101,-180.647,-179.563
80,6,3,30,5,-153.37548854912652,1.8438866176541209,-169.16918740166554,1.482355725073156,-158.55973873901368,0.9765509284671661,-173.21847280205623,0.8699693482227924,-173.43484820895722,0.6381885933698538,-5.184250189887166,-4.049285400390687,-4.265660807291681,32.824800816394806,-172.892,-174.138,-173.275
80,8,3,30,5,-136.05372284105087,0.553118222965435,-143.11059469943575,0.618208096686376,-136.88222802903917,0.7671828516056935,-143.76360429551866,0.6178146856136578,-143.79898587544758,0.6356389036650031,-0.8285051879882985,-0.6530095960829101,-0.6883911760118337,11.74040289542568,-143.620,-143.272,-144.505
100,1,3,30,5,-27.04053105333116,3.207650534765869,-68.13389110649956,2.4266051937865125,-41.88455232577853,2.8683909874528912,-69.3100795050727,1.2320750703363634,-72.42559838867187,0.8386116691176653,-14.844021272447367,-1.1761883985731316,-4.291707282172311,36.12267590978571,-72.577,-73.179,-71.522
100,2,3,30,5,-81.92240376790363,3.923368806803381,-114.44206176757812,2.153376477626701,-95.31094129774306,2.3927854175029903,-120.46258124457465,2.8667391232509245,-123.39043185763887,3.2766933890965704,-13.388537529839425,-6.020519476996526,-8.948370090060749,41.1705975812336,-119.609,-125.385,-125.177
100,3,3,30,5,-146.59826772732202,6.77034894794208,-176.06702897135415,0.457921114124691,-157.11891638183593,7.041446596090907,-183.4657501085069,2.129791458833414,-184.40190528700086,1.768823278137225,-10.520648654513906,-7.398721137152762,-8.33487631564671,35.70102104866895,-182.640,-186.177,-184.389
100,4,3,30,5,-170.757409898546,2.255133588298483,-204.18626028103293,3.5114538684957792,-178.7018121541341,1.2836987131374176,-207.1394402804904,2.3631292146091245,-208.87352926974822,2.1199058728684763,-7.944402255588102,-2.9531799994574612,-4.687268988715289,23.765107578303386,-206.454,-210.407,-209.759
100,5,3,30,5,-178.84250358072916,1.6433243787499212,-203.84285080973305,1.8009229841538357,-184.19977785915796,1.3638815807671236,-207.53608622911244,1.053805241773756,-208.10654316541886,1.3358160633355263,-5.357274278428804,-3.6932354193793913,-4.263692355685805,21.428799485687215,-207.499,-207.182,-209.638
100,6,3,30,5,-177.77424152289495,4.687449943792656,-198.41679787190753,4.709611641038145,-181.2627194824219,5.718262279497912,-200.1521673719618,5.392973534146033,-200.73678647867837,5.393028386588113,-3.488477959526932,-1.7353695000542757,-2.319988606770835,16.899447435413204,-196.015,-206.614,-199.582
100,8,3,30,5,-159.11136842515734,1.1444653953855195,-168.17578092956543,1.2230130065080207,-161.08022316657173,1.9590723325763468,-169.78308821953667,2.1212504496391213,-169.93308059183755,2.1115772472999343,-1.9688547414143898,-1.6073072899712315,-1.7572996622721178,21.720709869028134,-170.465,-167.606,-171.728
120,1,3,30,5,-27.112268906487362,3.7247648195286005,-74.84141005791558,0.9063587191838736,-38.33835897742377,1.9900298522201454,-75.61758638170029,1.8203054677526973,-78.0591967807346,1.6655503077412772,-11.226090070936412,-0.7761763237847106,-3.217786722819014,23.520410801694233,-79.981,-77.159,-77.037
120,2,3,30,5,-83.58453663465711,8.62400844616424,-129.57435074869792,3.1806332319930504,-98.55374747721355,3.884344867216678,-132.40342058648002,2.0690365427598367,-135.8932344563802,3.2165968251823656,-14.969210842556436,-2.8290698377821,-6.318883707682289,32.54897009463297,-138.108,-137.368,-132.204
120,3,3,30,5,-157.44953101942272,7.651503830096028,-197.05178853352868,7.968922597899006,-166.59579298231336,6.75711008391449,-204.31411261664496,6.564176275999671,-205.54670111762152,6.647908435236065,-9.146261962890634,-7.262324083116283,-8.494912584092845,23.0953045028628,-201.034,-202.426,-213.181
120,4,3,30,5,-189.34833298068574,7.2649326840681,-230.046521742079,10.60647654618001,-199.23220773654512,4.122196407939451,-235.93675115288625,9.766872624597061,-237.51979634602867,8.638200506741057,-9.883874755859381,-5.890229410807251,-7.473274603949676,24.285785330170103,-238.895,-245.388,-228.276
120,5,3,30,5,-203.1092185465495,3.359372245026214,-236.96913045247393,3.390179886174318,-210.79245210096573,2.4165545394269765,-243.0566463487413,4.0561539362693555,-244.2102909613715,4.052698961349349,-7.683233554416233,-6.0875158962673765,-7.241160508897565,22.691239055090115,-245.058,-247.772,-239.801
120,6,3,30,5,-201.23671974012586,0.9002882513026241,-228.35900634087454,0.7068136359611604,-206.53693042670355,1.2215263538231051,-232.6993399793836,1.156235024391143,-233.15895645480683,1.0073446135862085,-5.300210686577685,-4.340333638509065,-4.799950113932283,19.5419020696853,-233.410,-232.050,-234.017
