M,K,Emax_each,method,obj,nodes
200,4,12500.0,Multi-PDR,-258.1035859191894,77.76
200,5,10000.0,Multi-Random,-98.01407564430235,23.135
200,5,10000.0,Multi-NearestNeighbor,-266.0461171020508,79.765
200,5,10000.0,Multi-GreedyPriority,-150.55067842559814,24.0
200,5,10000.0,Multi-PDR,-275.459466607666,71.53
200,6,8333.333333333334,Multi-Random,-110.51297988185883,24.98
200,6,8333.333333333334,Multi-NearestNeighbor,-264.1060555114746,71.93
200,6,8333.333333333334,Multi-GreedyPriority,-164.24588212738036,25.475
200,6,8333.333333333334,Multi-PDR,-275.09703192749026,65.59
200,8,6250.0,Multi-Random,-128.1324243932724,27.65
200,8,6250.0,Multi-NearestNeighbor,-239.2384315170288,57.725
200,8,6250.0,Multi-GreedyPriority,-183.0327361999512,28.875
200,8,6250.0,Multi-PDR,-248.45107500610348,54.54
