n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
11,576.2955061991509,248.4823889538117,473.0405193993696,444.2439984584107,1265.582938300762,126.5582938300762,48894.19083588272,6185.834213647219,9491.872037255715,239.56144662853808,50,50000,3,7662622,1
12,387.4433945802122,230.09297643468622,349.3857491381428,218.34671279288824,1450.8128848203353,131.8920804382123,80375.48263267094,4631.522782611739,10881.096636152515,284.8571743049245,50,50000,3,7662622,1
11,552.8952087596299,71.09015932647836,307.742475552891,280.8864331731546,1394.8590550148697,139.48590550148697,52718.754811417406,4679.890260645811,10461.442912611523,342.2111328275312,50,50000,3,7662622,1
12,387.1125230800068,78.53264480063629,362.79651651484875,268.51640445154663,1717.2521226006565,156.1138293273324,80014.76334161779,3492.3387591048227,12879.390919504924,278.7096486922101,50,50000,3,9758090,1
17,193.68571820427368,132.82393647143743,318.8346130875172,77.19005347890574,1794.5790892438663,112.16119307774164,106630.70246029922,2448.822410067833,13459.343169328997,576.8805663920338,50,50000,3,9758090,1
13,520.5546742948627,145.1777361591754,398.77596728830434,293.22512484187075,1435.329918998985,119.61082658324875,85151.83708205339,4992.993078405286,10764.974392492388,328.8293223993842,50,50000,3,9758090,1
16,406.7463807613709,42.07030744660153,339.060402720572,277.4124483381299,1688.2905237804237,112.55270158536158,56695.40420787677,3366.1251615597935,12662.178928353178,458.81004388696726,50,50000,3,3862201,1
14,271.9601357029048,49.535964741009046,337.57068272871595,252.8901286940227,1837.1042800733533,141.3157138517964,67874.94330622582,2411.2207533293536,13778.28210055015,401.3946851534371,50,50000,3,3862201,1
13,332.7434165408827,65.31229115882662,360.9196259151625,302.32627919921606,1759.0816202148185,146.59013501790153,68747.15833694753,2985.41780774782,13193.112151611138,271.50150704048633,50,50000,3,3862201,1
13,496.5873132930233,112.25548798912229,377.3423056485223,329.52972004830923,1488.0919032977513,124.00765860814595,58143.91228097394,4566.321009616092,11160.689274733135,371.7865523119535,50,50000,3,772250,1
9,142.55950809110857,119.73801162330825,383.0764839899608,349.394696197201,1445.2363561343645,180.65454451679557,51988.46043477738,1967.231397858126,10839.272671007733,267.3361613806505,50,50000,3,772250,1
23,370.7459444060427,118.49350034994451,316.9279168298608,250.6842255853104,1631.8118862083522,74.1732675549251,46588.90919518724,3669.295835669904,12238.589146562641,698.477271871293,50,50000,3,772250,1
7,393.7897256104818,121.75443024662259,304.7697934772129,266.0546629747209,853.3721192250293,142.2286865375049,30223.125953110983,3866.581168928283,6400.29089418772,194.29065102933234,50,50000,4,4474730,1
10,427.89381258069847,152.4944418427394,369.2649415834453,329.66488602826576,939.2663132427795,104.36292369364216,39321.68683980995,4352.9119081757835,7044.497349320846,286.20382675748306,50,50000,4,4474730,1
11,322.0643555757218,156.76310920803283,351.5072069780095,327.5255161427326,1032.3337696776757,103.23337696776757,31500.008568890797,3591.20598587816,7742.503272582568,316.11160074871134,50,50000,4,4474730,1
13,514.1911646904704,179.34654506109607,331.22340108556665,326.64739025764277,721.1578527503104,60.09648772919254,16037.423814245687,5201.532823136748,5408.683895627329,423.91882244171455,50,50000,4,4474730,1
15,327.7691029483284,107.88394399518006,292.25396280794615,228.71677768030096,1130.3653854086292,80.74038467204494,37068.48396841281,3267.3978520763135,8477.740390564719,364.03319491075615,50,50000,4,9944578,1
11,537.4646896371733,172.5437409334057,393.7267212431956,361.43913750620237,871.537075842295,87.15370758422951,36769.617733086394,5325.0632292793425,6536.528068817213,364.7308799268559,50,50000,4,9944578,1
