M,K,n_seeds,instances,routing_mean,routing_std,penalty_mean,penalty_std,penalty_pct,makespan_mean,final_mean,final_std,conflicts_left,final_seed0,final_seed1,final_seed2
100,6,3,30,-200.1521673719618,5.392973534146033,11.295198669944973,0.2576683923620244,5.643305699984768,9.314666666666666,-188.85696870201681,5.15406045138611,0,-184.447,-194.523,-187.601
100,8,3,30,-169.78308821953667,2.1212504496391213,11.600743110031658,0.29965884852085534,6.83268471064174,14.520033333333332,-158.182345109505,2.4021050231212673,0,-158.763,-155.543,-160.241
120,1,3,30,-75.61758638170029,1.8203054677526973,0.0,0.0,0.0,0.0,-75.61758638170029,1.8203054677526973,0,-77.718,-74.507,-74.627
120,2,3,30,-132.40342058648002,2.0690365427598367,3.7333099267985017,0.4150665091612876,2.81964764222996,1.8843333333333325,-128.6701106596815,2.3987056598617515,0,-129.681,-130.398,-125.931
120,3,3,30,-204.31411261664496,6.564176275999671,6.986057019940694,0.200918517081072,3.419272868853973,3.8535777777777773,-197.32805559670427,6.427871163400233,0,-194.051,-193.199,-204.734
120,4,3,30,-235.93675115288625,9.766872624597061,9.71660173737971,0.22153002263242372,4.1183078472939485,5.501166666666666,-226.2201494155066,9.612221108480696,0,-227.938,-234.857,-215.865
120,5,3,30,-243.0566463487413,4.0561539362693555,11.868084371818542,0.47261338850282103,4.882847085279881,7.460433333333334,-231.18856197692276,3.6216542733839483,0,-232.477,-233.990,-227.099
120,6,3,30,-232.6993399793836,1.156235024391143,13.194948013918347,0.05525406776068671,5.670384804309018,9.334477777777776,-219.50439196546532,1.1012795194268867,0,-220.072,-218.235,-220.206
120,8,3,30,-193.11341273328992,5.420454889216731,13.761795630851957,1.0168176498871064,7.126276438322,13.780366666666666,-179.35161710243798,4.406184723726129,0,-174.352,-181.035,-182.668
150,1,3,30,-80.54368825276696,5.9239841248300396,0.0,0.0,0.0,0.0,-80.54368825276696,5.9239841248300396,0,-81.251,-74.298,-86.082
150,2,3,30,-142.99193202039933,4.09809358728059,4.010938512897067,0.4146092280164995,2.805010364028695,1.8726666666666663,-138.98099350750223,4.47195314666811,0,-141.106,-133.843,-141.995
150,3,3,30,-234.0167028266059,3.3918826386474685,8.136254560420566,0.3148320140347882,3.476783691995312,3.6435666666666666,-225.88044826618534,3.6418684748278207,0,-226.144,-222.114,-229.383
150,4,3,30,-270.48433439127604,2.319147251404593,11.326774583460912,0.1191931233656241,4.1875898687263255,5.676100000000001,-259.1575598078151,2.337976958111534,0,-261.120,-259.782,-256.571
150,5,3,30,-276.9330093858507,2.0201852489258783,13.38235016690657,0.14414425860099697,4.83234201534312,7.355422222222221,-263.55065921894413,2.164277166618769,0,-261.288,-265.601,-263.763
150,6,3,30,-262.10200023735894,1.4799682765968896,14.694623647248372,0.09148308451895246,5.606452310146796,9.386366666666666,-247.40737659011052,1.3990656771454661,0,-245.818,-247.952,-248.453
150,8,3,30,-228.4709394124349,2.2037255903881485,16.35945013208739,0.5241042805723662,7.1604074348183815,13.817199999999998,-212.1114892803475,1.960764944606671,0,-211.225,-214.359,-210.750
200,1,3,30,-86.07881829833984,6.643415247901078,0.0,0.0,0.0,0.0,-86.07881829833984,6.643415247901078,0,-89.831,-89.997,-78.408
200,2,3,30,-156.02476136610244,3.8452029515824124,5.799075892184788,0.74417583175844,3.7167663910586697,2.2226666666666666,-150.22568547391765,3.17903608236517,0,-152.161,-151.960,-146.557
200,3,3,30,-277.4538801676432,5.783681760100359,10.250855852682324,0.30458310641645475,3.6946161453891193,3.9419222222222223,-267.2030243149609,5.479120354914694,0,-273.522,-263.776,-264.311
200,4,3,30,-324.05767989095057,3.9556406233706545,13.774192287732442,0.46767104967346906,4.250537216821286,5.739466666666665,-310.283487603218,3.521279376111492,0,-313.979,-306.967,-309.905
200,5,3,30,-329.7425829671224,2.3081063509427517,16.463777916213143,0.1857684506295433,4.992918344991158,7.468788888888888,-313.2788050509093,2.1247827442277485,0,-315.325,-311.084,-313.427
200,6,3,30,-319.2646960449219,2.064584772212052,17.977332415575663,0.2506614702501246,5.630855098694087,9.414799999999998,-301.2873636293462,1.8302967126141514,0,-299.185,-302.527,-302.150
200,8,3,30,-276.28080910915804,2.0171698297466545,20.327039254642063,0.46237919088251095,7.357383714122137,13.91261111111111,-255.9537698545159,1.6603169305805614,0,-254.039,-256.824,-256.998
