M,K,n_seeds,instances,routing_mean,routing_std,penalty_mean,penalty_std,penalty_pct,makespan_mean,final_mean,final_std,conflicts_left,final_seed0,final_seed1,final_seed2
80,1,3,30,-60.31292379082574,3.375431189201401,0.0,0.0,0.0,0.0,-60.31292379082574,3.375431189201401,0,-60.410,-63.639,-56.890
80,2,3,30,-103.10368339708116,5.457572603213077,3.0599445728234187,0.13764235059921087,2.9678324498250124,2.2393333333333323,-100.04373882425773,5.495448281215604,0,-99.240,-94.995,-105.897
80,3,3,30,-147.92915835232202,2.6789855022273112,5.103767667954339,0.2201181710181773,3.4501431122853585,3.985222222222221,-142.8253906843677,2.571229138423441,0,-140.024,-145.077,-143.375
80,4,3,30,-173.67492713080512,2.860320139974565,6.950336340457916,0.09737073239157214,4.001922704261851,5.794388888888889,-166.7245907903472,2.9562558117249584,0,-166.718,-163.772,-169.684
80,5,3,30,-175.67955152384442,2.351071459980773,8.086851664286188,0.16370578627519994,4.603183235692963,7.461944444444445,-167.5926998595582,2.192995033420527,0,-168.991,-168.722,-165.065
80,6,3,30,-169.16918740166554,1.482355725073156,9.120174682573955,0.07989926420701444,5.391155932504151,9.637744444444444,-160.04901271909162,1.5621045674162723,0,-158.386,-161.485,-160.276
80,8,3,30,-143.11059469943575,0.618208096686376,9.547460035961256,0.18307839920899777,6.671385899844143,14.258599999999996,-133.56313466347453,0.4566209650654112,0,-133.513,-133.134,-134.043
100,1,3,30,-68.13389110649956,2.4266051937865125,0.0,0.0,0.0,0.0,-68.13389110649956,2.4266051937865125,0,-65.684,-70.536,-68.181
100,2,3,30,-114.44206176757812,2.153376477626701,3.09757793943278,0.2643481854826645,2.706677852172649,1.890999999999999,-111.34448382814533,1.9505583000285147,0,-109.473,-111.195,-113.365
100,3,3,30,-176.06702897135415,0.457921114124691,6.323581496879155,0.19849193739490834,3.5915761933530392,3.958566666666666,-169.743447474475,0.5792595934333444,0,-169.227,-169.634,-170.370
100,4,3,30,-204.18626028103293,3.5114538684957792,8.396094864641825,0.13373566325111894,4.111978373611335,5.642822222222223,-195.79016541639115,3.4543808937240996,0,-192.014,-198.790,-196.566
100,5,3,30,-203.84285080973305,1.8009229841538357,10.063064607132809,0.1706482243687049,4.936677723628225,7.486955555555556,-193.77978620260026,1.6538526409655925,0,-195.634,-192.458,-193.247
100,6,3,30,-198.41679787190753,4.709611641038145,11.205830177557203,0.20491911576378746,5.647621722426638,9.406255555555555,-187.21096769435033,4.522014826857302,0,-182.873,-191.897,-186.862
100,8,3,30,-168.17578092956543,1.2230130065080207,11.588156828804545,0.4296562078739821,6.890502761308919,14.838333333333333,-156.5876241007609,1.5366159501712748,0,-157.146,-154.850,-157.767
120,1,3,30,-74.84141005791558,0.9063587191838736,0.0,0.0,0.0,0.0,-74.84141005791558,0.9063587191838736,0,-73.977,-74.763,-75.784
120,2,3,30,-129.57435074869792,3.1806332319930504,3.805530224804348,0.4196919502739291,2.936947168027843,1.9959999999999993,-125.76882052389357,2.9452355325994217,0,-126.849,-128.022,-122.436
120,3,3,30,-197.05178853352868,7.968922597899006,6.594865237197876,0.3553737487609355,3.3467675103470316,3.6019111111111104,-190.45692329633076,7.6956877910343255,0,-184.290,-187.999,-199.081
120,4,3,30,-230.046521742079,10.60647654618001,9.425653790229795,0.43673937298574556,4.097281592806495,5.641033333333333,-220.6208679518492,10.169739502244944,0,-224.849,-227.995,-209.019
120,5,3,30,-236.96913045247393,3.390179886174318,11.605866747386932,0.24572900941087103,4.897628110980717,7.460411111111111,-225.363263705087,3.1838822250836247,0,-223.473,-229.039,-223.577
120,6,3,30,-228.35900634087454,0.7068136359611604,12.982121157080543,0.2248953142314246,5.684961309431325,9.462933333333332,-215.376885183794,0.5788092241161025,0,-215.249,-214.872,-216.009
120,8,3,30,-191.5747325761583,4.444569259612188,13.683816688776014,0.9882224947537518,7.142808712175115,13.935277777777777,-177.89091588738233,3.4621641203840285,0,-173.939,-179.346,-180.388
150,1,3,30,-78.0294953748915,8.729890124941345,0.0,0.0,0.0,0.0,-78.0294953748915,8.729890124941345,0,-78.436,-69.103,-86.549
150,2,3,30,-139.7058592936198,7.968714045542523,4.211141394982232,0.19070213190350574,3.0142911802515573,2.037666666666666,-135.49471789863756,7.8450129550127325,0,-140.667,-126.468,-139.349
150,3,3,30,-230.18553290473093,6.134912610746961,8.371627596379598,0.401646869255791,3.6369043226728084,3.876866666666666,-221.81390530835128,6.517151302272574,0,-217.660,-218.456,-229.325
150,4,3,30,-263.197419921875,4.233199143862986,11.06857108792199,0.08268470613627966,4.2054253765889795,5.779344444444445,-252.12884883395301,4.151721779404267,0,-255.476,-253.428,-247.483
150,5,3,30,-272.66888937717016,2.510258036941087,13.335663806171418,0.08166546481818547,4.890790378261605,7.560311111111111,-259.33322557099876,2.5822646577183264,0,-258.356,-262.262,-257.382
150,6,3,30,-259.1585193752713,4.632307192780869,14.535947347732543,0.30941845695720227,5.608901988934403,9.592933333333333,-244.6225720275387,4.3374266406908255,0,-239.786,-248.169,-245.913
150,8,3,30,-225.15313337537975,3.3236832042722377,16.22234619963402,0.5068173867538376,7.205027954280257,14.058966666666665,-208.93078717574576,3.187674585809599,0,-207.042,-212.611,-207.139
200,1,3,30,-83.88847147623699,3.5081275988348173,0.0,0.0,0.0,0.0,-83.88847147623699,3.5081275988348173,0,-84.727,-86.901,-80.037
200,2,3,30,-165.15878960503474,3.817783327807465,4.9069284843037915,0.4145679227684996,2.971036840387578,1.8543333333333327,-160.25186112073092,4.188983836928355,0,-163.779,-155.622,-161.355
200,3,3,30,-275.5139491916232,8.566852127021555,10.392344545393202,0.41216790667643577,3.7719848943710663,4.0886,-265.12160464623,8.199300095636909,0,-274.343,-258.652,-262.370
200,4,3,30,-315.0215887451172,3.750064405445964,13.605681950644597,0.1242088828637805,4.3189681078184465,5.819466666666666,-301.4159067944726,3.645844410009431,0,-305.503,-300.245,-298.500
200,5,3,30,-327.8094407280816,4.229782157310159,16.530225434113394,0.4740210309771492,5.042632511558824,7.737122222222222,-311.2792152939682,3.75841168596739,0,-314.059,-307.003,-312.775
200,6,3,30,-310.74867817518447,0.9318832111187846,17.59756226299201,0.14016443413121682,5.662956433581799,9.5747,-293.15111591219244,0.792956928368327,0,-293.787,-293.404,-292.263
200,8,3,30,-273.7037396104601,2.065016282485105,20.269952193339456,0.564225011224758,7.405800235754178,14.107566666666665,-253.43378741712058,1.5015352884711004,0,-252.337,-252.819,-255.145
