M,K,n_seeds,instances,beam_width,greedy_pre_mean,greedy_pre_std,greedy_pp_mean,greedy_pp_std,beam_pre_mean,beam_pre_std,beam_pp_mean,beam_pp_std,d_raw,d_final,recovery_pct,beam_pp_seed0,beam_pp_seed1,beam_pp_seed2
80,5,3,30,5,-157.08893983629014,3.2071377846243614,-175.67955152384442,2.351071459980773,-161.844464114719,1.949783876627989,-179.73239126586915,0.6688655164384036,-4.755524278428851,-4.05283974202473,25.580246407989335,-179.696,-180.419,-179.083
80,6,3,30,5,-153.37548854912652,1.8438866176541209,-169.16918740166554,1.482355725073156,-158.55973873901368,0.9765509284671661,-173.21847280205623,0.8699693482227924,-5.184250189887166,-4.049285400390687,32.824800816394806,-172.408,-174.138,-173.110
80,8,3,30,5,-136.05372284105087,0.553118222965435,-143.11059469943575,0.618208096686376,-136.88222802903917,0.7671828516056935,-143.76360429551866,0.6178146856136578,-0.8285051879882985,-0.6530095960829101,11.74040289542568,-143.620,-143.230,-144.440
100,1,3,30,5,-27.04053105333116,3.207650534765869,-68.13389110649956,2.4266051937865125,-41.88455232577853,2.8683909874528912,-69.3100795050727,1.2320750703363634,-14.844021272447367,-1.1761883985731316,36.12267590978571,-70.713,-68.811,-68.406
100,2,3,30,5,-81.92240376790363,3.923368806803381,-114.44206176757812,2.153376477626701,-95.31094129774306,2.3927854175029903,-120.46258124457465,2.8667391232509245,-13.388537529839425,-6.020519476996526,41.1705975812336,-117.257,-122.781,-121.350
100,3,3,30,5,-146.59826772732202,6.77034894794208,-176.06702897135415,0.457921114124691,-157.11891638183593,7.041446596090907,-183.4657501085069,2.129791458833414,-10.520648654513906,-7.398721137152762,35.70102104866895,-181.171,-185.379,-183.847
100,4,3,30,5,-170.757409898546,2.255133588298483,-204.18626028103293,3.5114538684957792,-178.7018121541341,1.2836987131374176,-207.1394402804904,2.3631292146091245,-7.944402255588102,-2.9531799994574612,23.765107578303386,-204.575,-207.614,-209.229
100,5,3,30,5,-178.84250358072916,1.6433243787499212,-203.84285080973305,1.8009229841538357,-184.19977785915796,1.3638815807671236,-207.53608622911244,1.053805241773756,-5.357274278428804,-3.6932354193793913,21.428799485687215,-207.083,-206.784,-208.741
100,6,3,30,5,-177.77424152289495,4.687449943792656,-198.41679787190753,4.709611641038145,-181.2627194824219,5.718262279497912,-200.1521673719618,5.392973534146033,-3.488477959526932,-1.7353695000542757,16.899447435413204,-195.615,-206.115,-198.726
100,8,3,30,5,-159.11136842515734,1.1444653953855195,-168.17578092956543,1.2230130065080207,-161.08022316657173,1.9590723325763468,-169.78308821953667,2.1212504496391213,-1.9688547414143898,-1.6073072899712315,21.720709869028134,-170.406,-167.420,-171.523
120,1,3,30,5,-27.112268906487362,3.7247648195286005,-74.84141005791558,0.9063587191838736,-38.33835897742377,1.9900298522201454,-75.61758638170029,1.8203054677526973,-11.226090070936412,-0.7761763237847106,23.520410801694233,-77.718,-74.507,-74.627
120,2,3,30,5,-83.58453663465711,8.62400844616424,-129.57435074869792,3.1806332319930504,-98.55374747721355,3.884344867216678,-132.40342058648002,2.0690365427598367,-14.969210842556436,-2.8290698377821,32.54897009463297,-133.018,-134.095,-130.097
