n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
10,259.69515113543486,101.20365172999608,313.71460695404346,283.5883912517838,1088.9221906944347,120.99135452160385,30635.19692105996,2706.741021490732,8166.91643020826,348.9990645177263,50,50000,4,3820097,1
11,515.0361986011008,154.69714300549947,349.0943809340763,340.54781746367604,959.0083264695904,95.90083264695905,25169.91680631668,5023.000062049502,7192.562448521929,278.63944712187777,50,50000,4,3820097,1
13,351.9787748578274,68.08890671666794,356.0341916777433,351.3345374207192,954.7031278385193,79.55859398654327,17576.976067752657,3150.5076118087145,7160.273458788895,335.4364563322533,50,50000,4,9535879,1
8,375.23429866576856,133.70431831584054,311.7865581536894,252.97650312799584,1045.7270628321476,149.38958040459252,47358.309575418374,3817.0396273620686,7842.952971241107,242.35226972436172,50,50000,4,9535879,1
7,673.4826959658393,144.21180827286344,418.6410568062275,412.71374792100085,741.4532800182282,123.57554666970469,35858.465041102034,6132.70878179027,5560.899600136711,172.67055302492778,50,50000,4,9535879,1
12,394.12950075654675,164.3256976217847,355.9750637944264,326.0618360678251,865.6324837587097,78.6938621598827,31474.296212749472,4188.413987837486,6492.243628190323,357.270050180909,50,50000,4,9535879,1
6,448.2547652858508,73.42751706538117,332.08965929227827,304.51193430104104,982.0198909740482,196.40397819480964,42841.183080899675,3912.6171176342395,7365.149182305361,130.8207645663328,50,50000,4,8271480,1
11,560.4781541303968,78.18233191857247,377.9053296840893,364.1517811630999,935.8620310893065,93.58620310893065,32505.629899252493,4789.953645367269,7018.965233169799,351.5492216904403,50,50000,4,8271480,1
11,372.99706511778965,87.59077363878522,315.152364359253,297.9532412751943,994.433184685874,99.4433184685874,21089.85228457743,3454.4087906743116,7458.248885144056,295.2565545052478,50,50000,4,8271480,1
9,399.75750793389335,101.96101676663248,312.3305226576643,261.761094066356,1132.80124352362,141.6001554404525,45386.74198747123,3762.888935253944,8496.00932642715,238.59220238097558,50,50000,4,8271480,1
8,289.6522545223419,90.41342549758544,372.3494805506786,354.75482793439585,1169.4237463979057,167.0605351997008,30986.47910253505,2850.4926001494546,8770.678097984293,283.2181283831665,50,50000,4,6394530,1
6,418.4968447042349,94.30083071389777,320.9879850453678,297.74885669966733,1048.6219999461978,209.72439998923954,29818.63301300563,3845.9825656359953,7864.6649995964835,158.93552797973408,50,50000,4,6394530,1
13,219.80313905065498,116.42997160506894,272.3331025765286,215.0771924411047,1234.7415737456934,102.89513114547445,34970.42880292589,2521.7483299179294,9260.5618030927,330.6019206720406,50,50000,4,6394530,1
8,569.6356332770564,137.39439692843226,312.24190468279176,243.96002415133188,823.4968984102921,117.64241405861317,58056.21967326128,5302.725226541164,6176.226738077191,271.22363500065035,50,50000,4,6394530,1
10,381.69059191975776,93.44020521751663,412.6367275920238,377.56824955446666,1156.4170623749426,128.49078470832694,51346.47598132192,3563.480978529558,8673.12796781207,240.7311857383439,50,50000,4,8372552,1
7,389.57999624100347,95.57982979947124,365.3397389090109,330.64643533253604,1061.7214148314047,176.95356913856745,39845.81306019396,3638.6986953035607,7962.910611235535,196.04478166097527,50,50000,4,8372552,1
11,279.86735252790993,131.7353038112792,348.8625388733938,322.9639811069462,1161.7881293695636,116.17881293695636,31650.062271721356,3087.0199225439187,8713.410970271727,322.7567247436597,50,50000,4,8372552,1
7,420.8673702875168,178.52631148246334,476.7492426956136,471.9248318328746,842.2820622184639,140.38034370307733,32128.257383512482,4495.4526132748515,6317.115466638479,200.68141524293543,50,50000,4,8372552,1
6,359.484136657431,121.75443024662259,289.93313812166815,272.68331577759625,652.3606815805917,130.47213631611834,17641.662548126445,3609.289251780402,4892.705111854438,146.1671466696852,50,50000,5,4474730,1
