n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
16,178.52631148246334,131.7353038112792,283.9110623661909,219.38319617737776,1820.1721831192328,121.34481220794886,48773.69208341795,2326.9621147030693,13651.291373394246,325.5071862214149,50,50000,2,8372552,0
14,351.5250395417067,279.86735252790993,375.4494895557887,249.71520308593563,1652.7199488702076,127.13230375924674,82456.51154625481,4735.442940522124,12395.399616526558,379.27353733220565,50,50000,2,8372552,0
13,472.2741251905054,305.83160636580095,486.22426229522836,455.0015392464385,1193.6051977856307,99.46709981546923,42785.60862205632,5835.792986672298,8952.03898339223,405.30633753162465,50,50000,2,7662622,0
13,328.45419960474226,71.09015932647836,246.56820143385298,136.163950178568,1603.742177620281,133.64518146835675,60649.104646613545,2996.5826919841543,12028.066332152106,460.80128756899626,50,50000,2,7662622,0
16,198.90916068773078,78.53264480063629,362.7838533786456,305.926401209475,1856.3961619816469,123.75974413210979,58128.90066731199,2080.813541162753,13922.971214862351,486.66286168846307,50,50000,2,9758090,0
15,241.64997048628683,193.68571820427368,322.19817326763336,267.9251989911984,1735.2649191148898,123.94749422249213,47444.667312452475,3265.017665179204,13014.486893361674,422.7680766657656,50,50000,2,9758090,0
17,454.9096517799869,42.07030744660153,376.00073923601985,312.7519642848077,1853.1058440403774,115.81911525252359,61726.507181521054,3727.3496941994135,13898.293830302831,445.07205607538714,50,50000,2,3862201,0
17,208.39382285260209,49.535964741009046,381.0146972587338,315.3962606115005,1984.5999034016493,124.03749396260308,66943.68092529108,1934.4734069520835,14884.49927551237,434.7044846258985,50,50000,2,3862201,0
14,551.4181871446189,119.73801162330825,392.50543382082543,314.4743196707764,1760.9336248164582,135.4564326781891,77114.99249180431,5033.671490759453,13207.002186123436,407.233466055282,50,50000,2,772250,0
21,653.0897259457862,142.55950809110857,325.8058260842567,272.39245397778706,1962.3636888605338,98.11818444302669,48219.31969893199,5967.369255276711,14717.727666454004,620.3080101861366,50,50000,2,772250,0
16,399.9394168931722,190.04151745898727,420.0123851895158,395.5738648518501,1267.9662000240207,84.53108000160138,32451.383574014424,4424.857007641196,9509.746500180156,532.8772851202394,50,50000,3,4474730,0
13,121.75443024662259,152.4944418427394,360.1531880868757,307.2435753539645,1534.67892115509,127.8899100962575,49327.88841681542,2056.8665406702153,11510.091908663175,344.8300266016389,50,50000,3,4474730,0
13,185.14879995759392,193.39575656136637,255.52751468358295,152.5397530596541,1424.123648096685,118.67697067472375,47230.915490928055,2839.084173892202,10680.927360725138,418.80328730210795,50,50000,3,4474730,0
17,347.91725061432066,107.88394399518006,355.0357889337764,252.25397409896505,1449.6540859100533,90.60338036937833,71019.72637304281,3418.508959571255,10872.4056443254,379.51031835984,50,50000,3,9944578,0
13,275.1785053952919,273.8184890306461,327.8463970480276,250.03049983569093,1284.3926451276595,107.03272042730497,58066.98317277191,4117.477458194536,9632.944838457446,406.3081888913125,50,50000,3,9944578,0
12,447.4732599469257,178.28375377544987,328.47458800150974,252.5176281168215,1521.9652788134372,138.36047989213066,53675.35488966255,4693.177602917816,11414.739591100779,326.0410255892458,50,50000,3,9944578,0
15,244.72537950164775,187.75220517590407,342.382381771896,240.85984043677882,1639.6484799288519,117.11774856634656,66662.8193291138,3243.5818850816386,12297.36359946639,459.75554311743974,50,50000,3,9925823,0
14,446.17146193699557,156.67658528882106,445.80711693523523,409.3085330907367,1564.5251459287085,120.3480881483622,52156.924523124515,4521.3603541936245,11733.938594465313,382.7097117644478,50,50000,3,9925823,0
13,402.3459997977377,224.9617254670912,343.7064190416894,269.7122558691711,1344.2710662621312,112.0225888551776,57105.03046742703,4704.807939486217,10082.032996965983,363.96876253106825,50,50000,3,9925823,0
13,206.62282448740595,67.78415834045411,292.42638914322237,147.30538383154422,1759.775117011744,146.64792641764532,74008.47136444884,2058.0523712089507,13198.31337758808,369.87243373274976,50,50000,3,3820097,0
10,239.91582201522604,101.20365172999608,405.8570172079351,338.6413043809216,1665.261681888097,185.02907576534412,84855.40875647851,2558.396053089166,12489.462614160728,304.8642986187485,50,50000,3,3820097,0
10,400.3309092508545,80.38001333038373,346.2168219982762,295.7465496136084,1190.5048148766518,132.27831276407244,53629.76674168337,3605.331919359287,8928.78611157489,274.35281368284313,50,50000,3,3820097,0
12,673.4826959658393,133.70431831584054,316.2679348548107,288.0249586126539,1367.275871306782,124.29780648243472,50168.07857396853,6053.902607112598,10254.569034800865,349.4905766326783,50,50000,3,9535879,0
16,268.6370357693421,68.08890671666794,392.3340543422286,344.776289389984,1799.7515696032326,119.98343797354885,50988.240771685545,2525.444568645075,13498.136772024245,380.7438822293677,50,50000,3,9535879,0
11,612.2964060742055,182.30691643187558,425.0600461094598,386.9392555210497,1306.8627724554146,130.68627724554148,43771.122891586885,5959.524918795608,9801.47079341561,322.25427675002487,50,50000,3,9535879,0
12,279.4423417444331,101.96101676663248,383.1312149571999,305.19580341763316,1786.800417218608,162.436401565328,86997.8313848845,2860.525188832992,13401.003129139559,287.7713821698859,50,50000,3,8271480,0
11,257.9020093346958,73.42751706538117,295.8686812110401,262.7921052106336,1238.7654971147554,123.87654971147553,39358.241128266236,2484.971448000577,9290.741228360665,397.75388007538453,50,50000,3,8271480,0
11,370.9250818345306,207.3797166328998,363.16151896782054,272.1629419034447,1310.852889919004,131.0852889919004,67381.69401782814,4337.285988505728,9831.39667439253,270.78164961142494,50,50000,3,8271480,0
17,453.92943114643293,171.9344203483549,344.25572247376374,263.9092275506019,1525.5153643347824,95.3447102709239,56834.53422662831,4693.978886210909,11441.365232510867,467.73309962198226,50,50000,3,6394530,0
