layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs,alloc
core,200,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,2004331.884879179,0,1622463.0786371066,381868.8062420724,0,0,0.0,0,4.838213115042605,40.370884386958096,7934.181769636198,484.79551985569907,16.36603773070723,2.04377522469696,326.8400159073568,0.0,0.21428571428571427,0.0,2.558371146487987,53.69230769230769,0.8723404255319149,2329.365896969308,52,68.45028734207153,reserve_far
core,200,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,453609.6310600862,0,426785.3299995643,26824.301060521953,0,0,0.0,1,5.817375238242085,37.3639033442383,6542.619886436506,531.1837441108889,12.31705593210074,2.015407988255796,309.316014784105,0.0,0.042606516290726815,0.0,1.3475269843978999,32.781879194630875,0.9635922330097088,669.1848841919767,298,205.89600944519043,reserve_far
core,200,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,730086.5916523596,0,661626.0980024403,68460.49364991926,0,0,0.0,0,5.159223286643748,39.122683278828696,7419.771693842448,505.5226935786663,14.677425540121336,2.022510109644319,313.65807729745103,0.0,0.15217391304347827,0.0,1.9643227095065559,44.5735294117647,0.9451371571072319,1072.2643315958915,136,134.70153713226318,reserve_far
core,200,1500000.0,7,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,388274.87450217025,0,366892.7193552941,21382.15514687614,0,0,0.0,1,5.817375238242085,35.32337146978125,6542.619886436506,562.3924051127017,11.633549505572333,2.0135313497283667,308.17373906466133,0.0,0.04945054945054945,0.0,1.1517644144453252,27.95110024449878,0.9636803874092009,574.3149965529182,409,237.80620193481445,reserve_far
core,200,1500000.0,5,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,542457.2734513836,0,499763.1205813134,42694.152870070226,0,0,0.0,0,5.159223286643748,39.48873479264493,7419.771693842448,501.9089546917349,14.783102840632846,2.018188968250879,311.0126325203369,0.0,0.04642857142857143,0.0,1.6093663229933048,38.90430622009569,0.9625935162094763,809.6231134392009,209,178.45033884048462,reserve_far
core,200,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,1048406.9813095886,0,918169.5727111081,130237.40859848043,0,0,0.0,0,4.838213115042605,34.28811549510291,7934.181769636198,574.7942585362542,13.803516043881572,2.0295696194669643,318.00408039880494,0.0,0.4690265486725664,0.0,2.4009853250823996,54.17857142857143,0.9247058823529412,1440.0560259977171,84,104.87441873550415,reserve_far
core,200,1500000.0,6,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,462264.4801489775,0,426939.4770237595,35325.003125217925,0,0,0.0,1,5.159223286643748,38.55462457462662,7419.771693842448,514.7849950411176,14.413341036192802,2.015383196182439,309.30091052689977,0.0,0.07213930348258707,0.0,1.3422387364734945,32.22591362126246,0.96,678.9528222116412,301,204.67824244499207,reserve_far
core,200,1500000.0,8,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,347493.17128952016,0,330254.6800195372,17238.491269982947,0,0,0.0,1,5.817375238242085,34.88630999532688,6542.619886436506,569.8490366153083,11.481321308003325,2.012079505032758,307.29147735220556,0.0,0.06267409470752089,0.0,0.9986862693269866,24.04089219330855,0.9733009708737864,507.77777621713125,538,267.8408832550049,reserve_far
core,200,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,693532.6273970096,0,631947.2289842214,61585.39841278826,0,0,0.0,0,4.838213115042605,45.92575574654421,7934.181769636198,430.70673039252256,18.421309001615597,2.0221902930121987,313.46189853850916,0.0,0.15934065934065933,0.0,1.9783500288849416,48.4,0.9552941176470588,1000.1918818700085,135,142.14396572113037,reserve_far
core,200,1500000.0,9,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,306095.3672092929,0,294336.43406830286,11758.933140989995,0,0,0.0,1,5.817375238242085,34.29665641583734,6542.619886436506,579.9735543666129,11.280893477258076,2.010944189273736,306.60244614789946,0.0,0.0455531453362256,0.0,0.875053650566187,21.034682080924856,0.9854014598540146,450.28405042521234,692,301.44918155670166,reserve_far
