layout,M,Emax,K,seed,coord,replan,q,belief,tau,Th,J,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,100,1500000.0,4,10,exclude,per_leg_sa,0.5,prior,0.0,43200,785509.3406140103,524340.9409284119,261168.39968559844,2785,0,0.0,0,5.240538724622278,10.099280541693469,7299.469724120093,1967.6008553835559,3.7098325629143747,2.012947982675806,307.8190846820956,0.03712517848643503,0.0,0.0,2.0230379599091437,15.507462686567164,0.7505399568034558,1602.2565944768405,134,76.093017578125
paper,100,1500000.0,4,7,exclude,per_leg_sa,0.5,prior,0.0,43200,776354.2171663736,510270.06399199646,266084.1531743772,2783,0,0.0,0,5.218509503934779,10.890844305059158,7331.690553245741,1824.244954170231,4.01902745378874,2.0133314989911506,308.05221805429545,0.0548604427333975,0.0,0.0,2.020819579804201,15.365671641791044,0.7765843179377014,1613.463369164815,134,76.14063668251038
paper,100,1500000.0,4,2,exclude,per_leg_sa,0.5,prior,0.0,43200,789544.1997819389,523870.6866481003,265673.5131338386,2862,0,0.0,0,4.539162858794823,11.727947105453186,8478.86425558954,1694.7868594094675,5.002908895897341,2.0124398322062214,307.5103241513286,0.05329593267882188,0.0,0.0,2.02374902613075,15.93984962406015,0.7434077079107505,1560.8288504208087,133,78.23670792579651
paper,100,1500000.0,4,8,exclude,per_leg_sa,0.5,prior,0.0,43200,728457.6686589675,495315.86516520253,233141.80349376486,2866,0,0.0,0,4.788543228013972,17.491759380166283,8019.937817272908,1136.6915579534766,7.055509263843019,2.0117956385282936,307.119124243463,0.06412639405204461,0.0,0.0,2.026925145877472,15.93984962406015,0.7920673076923077,1565.9555937865027,133,79.00616407394409
paper,100,1500000.0,4,3,exclude,per_leg_sa,0.5,prior,0.0,43200,699704.9439974849,485721.02311848465,213983.92087900022,2883,0,0.0,0,5.054127002413989,11.91994875051338,7580.990936890765,1667.7397552787963,4.545667819511474,2.0121359553392635,307.3257576271572,0.053694355208811384,0.0,0.0,2.0218675500631735,16.2406015037594,0.7583682008368201,1533.458934465342,133,79.40752243995667
paper,100,1500000.0,4,9,exclude,per_leg_sa,0.5,kernel,0.0,43200,883042.2929214204,578788.6024963009,304253.69042511954,2297,0,0.0,0,4.740333835912077,8.287283995294736,8104.8909320055,2397.64163910367,3.3803595999589904,2.0130914171103123,307.9062658267742,0.029754959159859977,0.0,0.0,2.021849046520562,12.62406015037594,0.7445589919816724,1972.9604974734457,133,52.10466527938843
paper,100,1500000.0,4,1,exclude,per_leg_sa,0.5,kernel,0.0,43200,826269.0658364635,546008.6704091602,280260.3954273033,2343,0,0.0,0,4.704263543576533,8.174154056851686,8169.591647266075,2429.769555377297,3.362290728018235,2.0139657783933966,308.43797992587787,0.02912621359223301,0.0,0.0,2.0173026617603798,12.962686567164178,0.757,1905.4052026119923,134,54.85918641090393
paper,100,1500000.0,4,5,exclude,per_leg_sa,0.5,kernel,0.0,43200,818858.90659959,537819.8121854549,281039.094414135,2453,0,0.0,0,4.716895252054816,8.90185376087252,8146.821061143593,2231.7506139857073,3.650417304733748,2.0134176572365106,308.1046043996213,0.02795698924731183,0.0,0.0,2.022463891709616,13.721804511278195,0.7577639751552795,1816.6540501192176,133,55.77549910545349
paper,100,1500000.0,4,12,exclude,per_leg_sa,0.5,kernel,0.0,43200,870446.4936261596,578970.2857805362,291476.2078456234,2547,0,0.0,0,4.442264204156416,10.840404548199341,8671.083820102498,1833.6970829286233,4.728743858965947,2.012273034563797,307.4090089514995,0.058394160583941604,0.0,0.0,2.0208584369574742,14.285714285714286,0.7497243660418964,1746.4923966305835,133,57.91845631599426
paper,100,1500000.0,4,11,exclude,per_leg_sa,0.5,kernel,0.0,43200,720916.9967438928,497611.78099883726,223305.2157450555,2637,0,0.0,0,4.559053205441548,14.74035183036751,8440.41818863996,1348.5728366086764,6.2587781390180615,2.012230530288062,307.38319393417527,0.05119107957425241,0.0,0.0,2.027515306278451,14.631578947368421,0.7655099894847529,1706.805225859474,133,61.48325300216675
paper,100,1500000.0,4,6,exclude,per_leg_sa,0.5,kernel,0.0,43200,765835.7115155836,526752.4552846114,239083.25623097218,2591,0,0.0,0,4.756459715300161,8.486690623129313,8076.28272445257,2340.192562091769,3.4511188759755846,2.0140489711040352,308.4885947391459,0.027878162106350027,0.0,0.0,2.014624015695595,14.35820895522388,0.7690700104493208,1730.2765352761728,134,61.646342515945435
paper,100,1500000.0,4,4,exclude,per_leg_sa,0.5,kernel,0.0,43200,831323.4936743962,566667.0430140248,264656.4506603714,2681,0,0.0,0,4.769804670462605,14.55697564756398,8052.7543083059945,1365.6035590063495,5.89684631033431,2.012167804814748,307.3450995310518,0.05580246913580247,0.0,0.0,2.028684781084795,15.045112781954888,0.7653927813163482,1659.0547211975415,133,62.72493267059326
paper,100,1500000.0,4,7,exclude,per_leg_sa,0.5,kernel,0.0,43200,704765.2155086196,508265.27880220604,196499.93670641354,2705,0,0.0,0,5.218509503934779,11.59404231929691,7331.690553245741,1713.7796391443721,4.278082424241069,2.0131221682319027,307.9249583288735,0.050342130987292275,0.0,0.0,2.025192850189729,15.165413533834586,0.7983870967741935,1646.4593045637635,133,62.99792218208313
paper,100,1500000.0,4,3,exclude,per_leg_sa,0.5,kernel,0.0,43200,718829.8171746077,492925.2143384598,225904.60283614785,2795,0,0.0,0,5.054127002413989,11.984648057503527,7580.990936890765,1658.8374320588835,4.570062617577624,2.0120134498385305,307.25136679622517,0.03928064363464269,0.0,0.0,2.021051709880853,15.537313432835822,0.7718052738336714,1601.8364275846434,134,65.1005539894104
paper,100,1500000.0,4,10,exclude,per_leg_sa,0.5,kernel,0.0,43200,758189.4025443717,522435.9797289501,235753.42281542154,2748,0,0.0,0,5.240538724622278,10.228841252335362,7299.469724120093,1942.8158464304934,3.757159865424868,2.0128059874070887,307.7327904382944,0.06044487427466151,0.0,0.0,2.019483441627999,15.298507462686567,0.789906103286385,1624.326602861486,134,65.54756689071655
paper,100,1500000.0,4,8,exclude,per_leg_sa,0.5,kernel,0.0,43200,755596.9824774174,510354.98739674897,245241.99508066845,2694,0,0.0,0,4.788543228013972,16.00051363471967,8019.937817272908,1242.542775638406,6.454456115727964,2.0119385796331306,307.2059066849752,0.04416094210009813,0.0,0.0,2.0249323191735695,15.112781954887218,0.7993235625704622,1649.5383003496913,133,67.03375172615051
paper,100,1500000.0,4,2,exclude,per_leg_sa,0.5,kernel,0.0,43200,753775.7151917471,525781.1150451665,227994.60014658057,2807,0,0.0,0,4.539162858794823,13.006255523027841,8478.86425558954,1528.4256905825416,5.547449449346746,2.012164026565453,307.34280500195723,0.0438512869399428,0.0,0.0,2.0240610242974695,15.548872180451127,0.7689969604863222,1602.6988386176058,133,69.912118434906
paper,100,1500000.0,4,9,exclude,per_leg_sa,1.0,prior,0.0,43200,867919.1051449936,570119.132693334,297799.97245165956,2388,0,0.0,0,4.740333835912077,8.03081366348137,8104.8909320055,2473.878309264432,3.276188202812352,2.013363121106157,308.0714445654038,0.03095632946379215,0.0,0.0,2.022401812432315,13.365671641791044,0.7358916478555305,1858.565118796363,134,69.8176519870758
paper,100,1500000.0,4,1,exclude,per_leg_sa,1.0,prior,0.0,43200,810462.264849019,522938.1299256504,287524.1349233686,2465,0,0.0,0,4.704263543576533,7.864186673519872,8169.591647266075,2525.5104605217007,3.234827879342247,2.013988590007238,308.45185819946005,0.03160149973219068,0.0,0.0,2.0201175008129786,13.781954887218046,0.713026444662096,1802.995812139667,133,71.11496829986572
