layout,M,Emax,L,seed,argmin,rc_meas,rc_oracle_n,rc_exante,n_meas,n_exante,Pb_meas,Pb_exante,rule_meas,rule_oracle_n,rule_exante,rule_fixedpoint,reg_meas,reg_exante,reg_fixedpoint,ratio_meas,ratio_exante,bnd_exante,bnd_meas
core,100,3000000.0,12600.0,6,10,1004.629263975125,344.23091597997643,292.7244985881172,28.624,119.61198934019542,305.46267226404507,305.07762561552494,10,10,10,10,0.0,0.0,0.0,7.549143660647941,25.908629704787845,2.0084272005050323,2.0090633813328163
core,100,3000000.0,12600.0,7,9,1033.1478640800185,361.38788445658497,327.1221943645343,35.01315789473684,134.97221052152102,306.70982846683876,306.3975693735656,9,9,9,9,0.0,0.0,0.0,7.761319727254841,24.512524789803145,2.010606368100468,2.011121206824119
core,100,3000000.0,12600.0,8,11,1041.3526248488574,381.41611346838465,295.0811806390919,28.016,117.77159008589722,305.5094340485977,305.09014454134865,11,11,11,11,0.0,0.0,0.0,6.433377697428414,22.70363273371575,2.0084478908060457,2.0091406146627895
core,100,3000000.0,12600.0,9,10,867.869806763578,350.1899964204114,304.89467126453457,36.93055555555556,125.7504471164878,306.4832041276942,306.20041110035413,9,9,9,9,0.10469987433089756,0.10469987433089756,0.10469987433089756,9.114247068037725,25.943319405771128,2.0102811673000645,2.0107475849219956
core,100,3000000.0,12600.0,10,10,885.5375232523324,292.6521113728825,266.33787458586414,36.205479452054796,124.35658366519118,306.5954931619033,306.2860011071533,9,9,9,9,0.12405994292955169,0.12405994292955169,0.12405994292955169,8.951778512915391,29.763456606975847,2.010422355762106,2.010932726350445
core,100,3000000.0,12600.0,11,15,850.6365041440325,284.4277647973087,263.2483000655151,36.63157894736842,131.98663581110668,306.2237847475785,305.9358998118852,9,9,9,9,0.31336081705346364,0.31336081705346364,0.31336081705346364,9.426577462395988,30.460181116686595,2.009844707222989,2.010319726204826
core,100,3000000.0,12600.0,12,9,1013.6643861135491,325.3357204119149,275.5968905353363,35.421052631578945,120.53782505357026,306.7547942386253,306.43081481037524,9,9,9,9,0.0,0.0,0.0,7.91049878885379,29.09536055751445,2.0106611941535686,2.0111953227717274
core,200,1500000.0,12600.0,1,13,519.8438439567346,331.13883353446255,299.85580722037304,76.91666666666667,149.02753759476397,326.33807818011616,325.79506648676346,5,5,5,5,0.8204001194526018,0.8204001194526018,0.8204001194526018,12.585740819085341,21.81922020148884,2.042105347340603,2.042973438747948
core,200,1500000.0,12600.0,2,13,445.6481171408052,312.5197253259978,283.1920383351929,77.69444444444444,147.0474038825893,326.15378729479545,325.794170352528,5,5,5,5,0.5220872931897584,0.5220872931897584,0.5220872931897584,16.649395360281815,26.200495386315307,2.042103914128414,2.0426789011880175
core,200,1500000.0,12600.0,3,13,377.43164437472376,272.0416946617783,262.44804029421397,82.86111111111111,155.02307578985116,326.13825603761796,325.7055287676982,4,4,4,4,1.2897071065475196,1.2897071065475196,1.2897071065475196,21.021506510882112,30.23143842393217,2.0419621374562165,2.042654075005413
core,200,1500000.0,12600.0,4,14,380.1266441439311,281.7938913232998,270.5484373311883,62.53947368421053,121.15663013789734,317.0677700706133,316.66040879269366,6,6,6,6,0.5109714916784907,0.5109714916784907,0.5109714916784907,16.57425150430007,23.287196428396438,2.0273921821659173,2.0280528035573098
core,200,1500000.0,12600.0,5,14,398.1336497237107,270.9409840126038,260.3982404358856,78.58333333333333,156.4383825880821,325.95238573164653,325.5173034909953,5,5,5,5,0.02107897551018789,0.02107897551018789,0.02107897551018789,18.804627116915633,28.7511728697508,2.041661018903615,2.0423569218069315
core,200,1500000.0,12600.0,6,14,404.9936614227883,266.4320716627887,258.78513604178846,76.88888888888889,144.95030352952034,326.22190033872704,326.00102765307435,4,4,4,4,0.6983040674476559,0.6983040674476559,0.6983040674476559,19.291094755354223,30.190184866580797,2.0424346944422536,2.0427877705757886
core,200,1500000.0,12600.0,7,14,402.5115304989143,281.74103594380244,268.87542264640973,79.44444444444444,147.56102954341986,326.4324326429978,325.9506799672607,5,5,5,5,1.2824072840317169,1.2824072840317169,1.2824072840317169,18.51712509932468,27.720482187658817,2.042354194387654,2.0431242058403174
core,200,1500000.0,12600.0,8,14,442.04898254438365,300.8428652313836,284.8019830814945,79.22222222222223,154.9821326104975,326.0640320956358,325.6917572765312,5,5,5,5,0.5037720379810182,0.5037720379810182,0.5037720379810182,14.41075762455473,22.3673328278944,2.04194010908582,2.0425354224128083
core,200,1500000.0,12600.0,9,14,443.4706490988084,273.66688618880625,265.1593733889832,79.83333333333333,156.9123933848424,325.934629930938,325.3937008101126,5,5,5,5,0.36673183743997306,0.36673183743997306,0.36673183743997306,16.754817578796413,28.021901440764534,2.041463234764935,2.0423285309519548
core,200,1500000.0,12600.0,10,14,489.4488708743551,280.4219713236199,270.80438498318483,78.30555555555556,155.8183067051848,325.8270005172582,325.3358958360332,5,5,5,5,0.40705904697779305,0.40705904697779305,0.40705904697779305,13.412722603033487,24.24200750594683,2.0413707246317765,2.0421564190294057
core,200,1500000.0,12600.0,11,13,473.72432991404304,296.4935602978765,279.23929323543086,75.30555555555556,142.85449560917834,325.9592394597797,325.80050329835706,5,5,5,5,0.8441480038524765,0.8441480038524765,0.8441480038524765,14.273083585420066,24.214024032819474,2.0421140425410216,2.0423678804526095
core,200,1500000.0,12600.0,12,14,427.12598507186067,293.8067879933714,288.2291573452843,80.5,148.45429613865662,325.82823041657826,325.38795659889587,5,5,5,5,1.0669922730297774,1.0669922730297774,1.0669922730297774,16.954991519890047,25.125554685442946,2.041454042191166,2.0421583859416925
core,200,3000000.0,12600.0,1,29,636.3232568847584,341.26704700618853,299.4278702971848,64.37142857142857,150.63286429839744,310.7154352497252,310.3505011429309,11,11,11,11,0.705499369931311,0.705499369931311,0.705499369931311,10.281912244520413,21.85040383830302,2.017104552382122,2.017702371766463
core,200,3000000.0,12600.0,2,30,610.1813803832987,325.8101533269662,282.7994963610729,62.06666666666667,148.6655533646378,310.70964129778395,310.34830571071296,10,10,10,10,0.3493645325957615,0.3493645325957615,0.3493645325957615,12.159944456485311,26.236863181570268,2.0171009548560277,2.01769288310666
core,200,3000000.0,12600.0,3,30,591.3868695637478,273.57465155190044,260.49988045232226,77.1470588235294,189.35461871694983,313.2310053477086,312.8442205910273,9,9,9,9,1.0019686068707134,1.0019686068707134,1.0019686068707134,13.416229169053173,30.457525569146448,2.0211826813243348,2.0218137556125524
core,200,3000000.0,12600.0,4,30,584.8301833967508,288.4373692884159,269.39239159572156,50.21052631578947,136.88999149454014,308.6933327698658,308.3247563540116,12,12,12,12,0.48785594722679715,0.48785594722679715,0.48785594722679715,10.772895760841624,23.387128961615215,2.0137796544844964,2.0143854178267513
core,200,3000000.0,12600.0,5,10,504.65809178308604,275.7418087812471,260.31444347016895,64.22857142857143,157.73787154834716,310.4683813832847,310.2349894449445,10,10,10,10,0.0,0.0,0.0,14.835301261688803,28.760428065179692,2.0169152528520495,2.017297697142262
core,200,3000000.0,12600.0,6,30,562.2212093028459,266.4902110289481,257.42135671389286,76.6470588235294,177.5278519886768,313.3273951414431,312.9922917872188,9,9,9,9,0.24386166236173756,0.24386166236173756,0.24386166236173756,13.896258213938049,30.350127889770402,2.0214243189246717,2.02197096361466
core,200,3000000.0,12600.0,7,30,533.2024090208297,289.97884162646795,268.6852863083338,61.05769230769231,149.46587295558064,310.80251820644435,310.4095935269091,10,10,10,10,1.4360509138983564,1.4360509138983564,1.4360509138983564,13.978474661913745,27.74009871019073,2.017201378828055,2.0178449754365744
core,200,3000000.0,12600.0,8,30,635.5159884012697,309.25368847835324,284.6324985486243,62.179245283018865,156.50859638956288,310.69330775451687,310.30757398952693,11,11,11,11,0.2722387193056115,0.2722387193056115,0.2722387193056115,10.023761576248347,22.380651464997396,2.0170342078637717,2.0176661334552324
core,200,3000000.0,12600.0,9,31,506.5288873210692,278.41702734731194,265.1018277810595,63.55238095238095,157.99493702228565,310.44752948734344,310.185979885507,10,10,10,10,0.16803920294087038,0.16803920294087038,0.16803920294087038,14.668995220584938,28.027984150065652,2.016834925779511,2.0172635343366756
core,200,3000000.0,12600.0,10,30,545.3754905379801,284.83905855601034,270.7489416003355,64.65384615384616,156.78332199856973,310.4530500720782,310.1634263240629,11,11,11,11,0.12694450898669962,0.12694450898669962,0.12694450898669962,12.037288157063788,24.246971731827987,2.0167979581740303,2.0172725791253105
core,200,3000000.0,12600.0,11,30,545.8997627712369,303.3846592119651,279.02315820867096,62.72380952380952,144.4427789912874,310.60991660060506,310.3505243648206,11,11,11,11,0.6265869099731893,0.6265869099731893,0.6265869099731893,12.385986253201038,24.232780535920856,2.0171045904344034,2.0175295517422005
