n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
16,178.52631148246334,131.7353038112792,283.9110623661909,219.38319617737776,1820.1721831192328,121.34481220794886,48773.69208341795,2326.9621147030693,13651.291373394246,325.5071862214149,50,50000,2,8372552,0
14,351.5250395417067,279.86735252790993,375.4494895557887,249.71520308593563,1652.7199488702076,127.13230375924674,82456.51154625481,4735.442940522124,12395.399616526558,379.27353733220565,50,50000,2,8372552,0
16,399.9394168931722,190.04151745898727,420.0123851895158,395.5738648518501,1267.9662000240207,84.53108000160138,32451.383574014424,4424.857007641196,9509.746500180156,532.8772851202394,50,50000,3,4474730,0
13,121.75443024662259,152.4944418427394,360.1531880868757,307.2435753539645,1534.67892115509,127.8899100962575,49327.88841681542,2056.8665406702153,11510.091908663175,344.8300266016389,50,50000,3,4474730,0
13,185.14879995759392,193.39575656136637,255.52751468358295,152.5397530596541,1424.123648096685,118.67697067472375,47230.915490928055,2839.084173892202,10680.927360725138,418.80328730210795,50,50000,3,4474730,0
17,347.91725061432066,107.88394399518006,355.0357889337764,252.25397409896505,1449.6540859100533,90.60338036937833,71019.72637304281,3418.508959571255,10872.4056443254,379.51031835984,50,50000,3,9944578,0
13,275.1785053952919,273.8184890306461,327.8463970480276,250.03049983569093,1284.3926451276595,107.03272042730497,58066.98317277191,4117.477458194536,9632.944838457446,406.3081888913125,50,50000,3,9944578,0
12,447.4732599469257,178.28375377544987,328.47458800150974,252.5176281168215,1521.9652788134372,138.36047989213066,53675.35488966255,4693.177602917816,11414.739591100779,326.0410255892458,50,50000,3,9944578,0
15,244.72537950164775,187.75220517590407,342.382381771896,240.85984043677882,1639.6484799288519,117.11774856634656,66662.8193291138,3243.5818850816386,12297.36359946639,459.75554311743974,50,50000,3,9925823,0
14,446.17146193699557,156.67658528882106,445.80711693523523,409.3085330907367,1564.5251459287085,120.3480881483622,52156.924523124515,4521.3603541936245,11733.938594465313,382.7097117644478,50,50000,3,9925823,0
13,402.3459997977377,224.9617254670912,343.7064190416894,269.7122558691711,1344.2710662621312,112.0225888551776,57105.03046742703,4704.807939486217,10082.032996965983,363.96876253106825,50,50000,3,9925823,0
12,474.4070205525583,67.78415834045411,286.3690612474205,157.0586562469922,1559.2844775406634,141.7531343218785,70691.17292403687,4066.4338416975934,11694.633581554976,345.8011732773821,50,50000,3,3820097,0
9,154.69714300549947,222.20527539612755,319.95324457371726,241.6067537016359,1296.7547426534488,162.0943428316811,65722.43764941493,2826.7681380122026,9725.660569900867,232.42642476507584,50,50000,3,3820097,0
12,175.44806994868665,80.38001333038373,337.41124332725695,311.0841443188841,1509.3705425672636,137.21550386975125,42889.026661156844,1918.7106245930277,11320.279069254477,284.1665945985304,50,50000,3,3820097,0
12,673.4826959658393,133.70431831584054,316.2679348548107,288.0249586126539,1367.275871306782,124.29780648243472,50168.07857396853,6053.902607112598,10254.569034800865,349.4905766326783,50,50000,3,9535879,0
16,268.6370357693421,68.08890671666794,392.3340543422286,344.776289389984,1799.7515696032326,119.98343797354885,50988.240771685545,2525.444568645075,13498.136772024245,380.7438822293677,50,50000,3,9535879,0
11,612.2964060742055,182.30691643187558,425.0600461094598,386.9392555210497,1306.8627724554146,130.68627724554148,43771.122891586885,5959.524918795608,9801.47079341561,322.25427675002487,50,50000,3,9535879,0
11,507.1219990474286,101.96101676663248,396.4000951813123,355.5406728665873,1152.616828137897,115.2616828137897,62682.829967668345,4568.122618605457,8644.626211034229,302.16790007131726,50,50000,3,8271480,0
12,293.57265739052906,87.59077363878522,316.79675642375963,273.73945362715597,1623.7014354316455,147.60922140287687,43150.26873499352,2858.725732719857,12177.760765737341,357.59859908981025,50,50000,3,8271480,0
11,515.9133622460739,73.42751706538117,275.47920061184567,177.16892819453034,1531.3377546119875,153.13377546119875,62511.42924461598,4420.056594835913,11485.033159589906,321.97627602529195,50,50000,3,8271480,0
17,453.92943114643293,171.9344203483549,344.25572247376374,263.9092275506019,1525.5153643347824,95.3447102709239,56834.53422662831,4693.978886210909,11441.365232510867,467.73309962198226,50,50000,3,6394530,0
14,196.17030474601603,159.2755689216484,356.611590104315,309.07895892025806,1590.101303789354,122.31548490687338,50568.807276670115,2665.844052507483,11925.759778420155,528.0903495114942,50,50000,3,6394530,0
11,188.67976425510315,90.41342549758544,286.15985971021917,217.5848040561813,1807.5711604738879,180.7571160473888,56156.1208512519,2093.1989231451644,13556.78370355416,290.9778428156242,50,50000,3,6394530,0
10,591.3991621158026,183.60918731452415,373.43131497784566,352.20185892093184,1374.9209091210798,152.7689899023422,39471.30497050025,5812.56262072745,10311.906818408099,234.06716344582242,50,50000,3,8372552,0
14,190.75840029427715,279.86735252790993,365.2132770056742,313.48235707769464,1624.9133937249433,124.9933379788418,59021.46378883849,3529.6931461664035,12186.850452937075,339.94641121806455,50,50000,3,8372552,0
14,178.52631148246334,280.8106450989128,368.2108437668283,258.4786330709946,1667.9509330845124,128.30391792957786,74684.84107858015,3445.027174360321,12509.631998133842,348.257908459615,50,50000,3,8372552,0
9,331.4505904242088,190.04151745898727,316.60641607342916,191.09242782622906,1106.3320838356867,138.29151047946084,68033.12676184894,3911.190809123971,8297.49062876765,241.1216716002648,50,50000,4,4474730,0
8,392.9209138733534,152.4944418427394,406.0169966167523,348.1554793571444,1079.7621501099238,154.25173572998912,53858.56717418427,4090.615167870696,8098.216125824429,257.28160852036666,50,50000,4,4474730,0
