n,d_first,d_last,d_mean,tour_len,hop,E_excursion,E_tour,E_hover,M,Emax,K,seed
2,327.7691029483284,178.28375377544987,253.02642836188915,150.05529368385402,150.05529368385402,3795.3964254283374,1125.4147026289052,49.15852015400134,50,25000,5,9944578
3,309.2883507757497,107.88394399518006,212.70157442083303,202.29530088661724,101.14765044330862,3128.792210781973,1517.2147566496294,76.51757284965734,50,25000,5,9944578
2,250.1734163368243,212.9800233295434,231.57671983318386,107.33151912209759,107.33151912209759,3473.650797497758,804.9863934157319,51.6362224054373,50,25000,5,9944578
3,314.45664246031373,187.75220517590407,263.5859770956749,149.30475449728849,74.65237724864424,3766.5663572716335,1119.7856587296637,97.39433815920144,50,25000,5,9925823
3,300.1127183651303,227.47032409291285,254.99487857299675,80.41029257329603,40.20514628664802,3956.872818435323,603.0771942997203,114.19863910647999,50,25000,5,9925823
2,235.51344619594548,224.9617254670912,230.23758583151835,28.0656727273479,28.0656727273479,3453.5637874727754,210.49254545510925,28.013301222310933,50,25000,5,9925823
3,244.72537950164775,156.67658528882106,209.91711428382942,220.40324983109252,110.20162491554626,3010.514735928516,1653.024373733194,66.49634068671972,50,25000,5,9925823
2,225.55078500018496,222.20527539612755,223.87803019815624,60.0885255328085,60.0885255328085,3358.170452972344,450.6639414960637,80.23871154701044,50,25000,5,3820097
3,191.0766355624218,80.38001333038373,148.96823961383072,303.1886235864565,151.59431179322826,2035.9248666960416,2273.9146768984237,67.72882825612241,50,25000,5,3820097
3,322.1465642857979,101.20365172999608,211.5125759190918,222.7377486297596,111.3688743148798,3175.126620118455,1670.533114723197,97.53416499609628,50,25000,5,3820097
4,293.7968469429746,154.69714300549947,212.72240345439175,194.97846061373747,64.99282020457916,3363.7049246135552,1462.338454603031,121.58478804752082,50,25000,5,3820097
2,197.9140837459142,177.73376928315636,187.8239265145353,47.26161885883537,47.26161885883537,2817.3588977180293,354.46214144126526,45.674755383280754,50,25000,5,9535879
3,297.07843398842664,68.08890671666794,182.4914190456567,271.3797067008958,135.6898533504479,2738.7550552882094,2035.3478002567183,62.108410755871255,50,25000,5,9535879
3,164.3256976217847,144.21180827286344,163.73501109647125,91.73285882088945,45.866429410444724,2314.031294209861,687.9964411566708,88.81868345904613,50,25000,5,9535879
3,292.81946942209584,133.70431831584054,231.72027450242615,168.35069547744843,84.17534773872421,3198.9284080345224,1262.6302160808632,78.71140036464482,50,25000,5,9535879
3,87.59077363878522,166.5278613009356,161.76281646009826,383.5055612340522,191.7527806170261,1905.8897620479063,2876.2917092553917,80.52981253526899,50,25000,5,8271480
3,168.61086857166467,101.96101676663248,146.21798332937146,321.7812018584185,160.89060092920926,2029.2891400372284,2413.359013938139,60.318017159348436,50,25000,5,8271480
3,222.16785658063787,73.42751706538117,124.5925685215305,267.3155631208219,133.65778156041094,2216.965302345143,2004.866723406164,138.46017992764567,50,25000,5,8271480
3,306.3194098665878,226.54917056478072,268.9050890609251,96.17813234546583,48.08906617273291,3996.514353235264,721.3359925909937,81.03484360506313,50,25000,5,8271480
2,210.43450260072237,207.3797166328998,208.90710961681108,220.18554626740536,220.18554626740536,3133.6066442521665,1651.3915970055402,73.482533004599,50,25000,5,8271480
2,299.94506180815625,171.9344203483549,235.93974107825557,138.62439300135173,138.62439300135173,3539.0961161738333,1039.682947510138,54.15091897736476,50,25000,5,6394530
3,277.01189229300707,94.30083071389777,169.56903997844572,211.68666734459407,105.84333367229704,2784.845422551786,1587.6500050844556,94.29087098734416,50,25000,5,6394530
3,116.42997160506894,90.41342549758544,134.33790061622346,412.4198661389536,206.2099330694768,1551.3254782699078,3093.148996042152,99.00089481474147,50,25000,5,6394530
3,308.1181868219103,159.2755689216484,252.34867008863353,186.76161388465562,93.38080694232781,3505.4531680766904,1400.7121041349171,90.33030570986047,50,25000,5,6394530
4,188.67976425510315,219.80313905065498,231.55768418423696,236.15467791299676,78.71822597099892,3063.621774793186,1771.1600843474757,91.39390431955898,50,25000,5,6394530
2,317.99780436260244,183.60918731452415,250.8034958385633,135.50239490869785,135.50239490869785,3762.0524375784494,1016.2679618152339,33.499691114539765,50,25000,5,8372552
3,190.75840029427715,95.57982979947124,126.59281177042169,128.59581984065758,64.29790992032879,2147.536725703113,964.4686488049318,49.39051100125435,50,25000,5,8372552
2,218.74826948538828,131.7353038112792,175.24178664833374,88.38746134090452,88.38746134090452,2628.626799725006,662.9059600567839,66.18128430950925,50,25000,5,8372552
2,185.14879995759392,190.04151745898727,187.5951587082906,163.1252030064975,163.1252030064975,2813.927380624359,1223.4390225487311,71.98359885871034,50,25000,6,4474730
2,192.55300993764715,156.76310920803283,174.65805957284,59.37183000558749,59.37183000558749,2619.8708935925997,445.28872504190616,63.90259612887832,50,25000,6,4474730
3,236.140784299456,179.34654506109607,207.41585775490822,124.82786244412674,62.41393122206337,3116.15497020414,936.2089683309505,90.574966733612,50,25000,6,4474730
2,193.39575656136637,152.4944418427394,172.9450992020529,86.80601140918674,86.80601140918674,2594.1764880307933,651.0450855689005,84.57069623127832,50,25000,6,4474730
2,220.93242849156937,107.88394399518006,164.4081862433747,113.0632154178867,113.0632154178867,2466.1227936506207,847.9741156341502,36.20314158795813,50,25000,6,9944578
2,155.49351903369484,187.75220517590407,171.62286210479945,76.74217356126218,76.74217356126218,2574.342931571992,575.5663017094663,45.07902887393318,50,25000,6,9925823
2,216.58072850446078,168.10777912304764,192.34425381375422,131.70047081241884,131.70047081241884,2885.1638072063133,987.7535310931413,91.98517107745137,50,25000,6,9925823
2,237.40159326094712,227.47032409291285,232.43595867693,16.51075088955144,16.51075088955144,3486.53938015395,123.83063167163579,73.03584771874455,50,25000,6,9925823
2,235.51344619594548,224.9617254670912,230.23758583151835,28.0656727273479,28.0656727273479,3453.5637874727754,210.49254545510925,28.013301222310933,50,25000,6,9925823
2,191.0766355624218,67.78415834045411,129.43039695143796,123.87404432084043,123.87404432084043,1941.4559542715692,929.0553324063033,61.612464627849704,50,25000,6,3820097
4,239.91582201522604,154.69714300549947,190.9288978404996,109.13883325798108,36.379611085993695,2959.597237655441,818.5412494348581,115.09549881010463,50,25000,6,3820097
2,225.55078500018496,222.20527539612755,223.87803019815624,60.0885255328085,60.0885255328085,3358.170452972344,450.6639414960637,80.23871154701044,50,25000,6,3820097
2,211.18751174148147,101.20365172999608,156.19558173573878,109.98695906065205,109.98695906065205,2342.9337260360817,824.9021929548904,83.2524431404155,50,25000,6,3820097
3,169.39632511828748,80.38001333038373,141.74146946578597,230.5578689679499,115.27893448397495,1873.322538365034,1729.1840172596242,32.65727892768836,50,25000,6,3820097
2,197.9140837459142,177.73376928315636,187.8239265145353,47.26161885883537,47.26161885883537,2817.3588977180293,354.46214144126526,45.674755383280754,50,25000,6,9535879
2,182.30691643187558,68.08890671666794,125.19791157427176,120.29310547610095,120.29310547610095,1877.9686736140764,902.1982910707571,42.79378041258412,50,25000,6,9535879
2,268.6370357693421,133.70431831584054,201.1706770425913,142.98701195218683,142.98701195218683,3017.5601556388697,1072.4025896414012,53.54301964660701,50,25000,6,9535879
2,164.3256976217847,144.21180827286344,154.26875294732406,43.20136096493168,43.20136096493168,2314.031294209861,324.0102072369876,81.67501190008699,50,25000,6,9535879
2,231.16981444057393,166.5278613009356,198.84883787075478,65.76467896346624,65.76467896346624,2982.7325680613217,493.23509222599677,45.139783365107576,50,25000,6,8271480
2,168.08206464981726,101.96101676663248,135.02154070822488,86.2236483912141,86.2236483912141,2025.3231106233732,646.6773629341058,24.83269047974345,50,25000,6,8271480
2,241.43159846751695,226.54917056478072,233.99038451614882,79.20209965129241,79.20209965129241,3509.8557677422323,594.0157473846931,27.492405332338038,50,25000,6,8271480
2,207.3797166328998,87.59077363878522,147.48524513584252,187.34979044268934,187.34979044268934,2212.278677037638,1405.12342832017,63.48186175540378,50,25000,6,8271480
4,237.44550313644075,73.42751706538117,139.41655517301476,189.42193581183312,63.14064527061104,2331.5476515136643,1420.6645185887485,173.36130890603033,50,25000,6,8271480
2,226.71847669953874,219.80313905065498,223.26080787509687,9.67163239866346,9.67163239866346,3348.912118126453,72.53724298997595,48.52163186750854,50,25000,6,6394530
3,159.2755689216484,94.30083071389777,130.32359885465948,131.81195402036957,65.90597701018478,1901.822997266596,988.5896551527718,100.41194434654147,50,25000,6,6394530
2,258.6029381944674,90.41342549758544,174.50818184602642,169.63616580862316,169.63616580862316,2617.6227276903965,1272.2712435646738,53.80906556268699,50,25000,6,6394530
2,171.9344203483549,116.42997160506894,144.1821959767119,109.61924460189132,109.61924460189132,2162.7329396506784,822.144334514185,68.84866626544091,50,25000,6,6394530
2,93.44020521751663,95.57982979947124,94.51001750849395,20.516047025262385,20.516047025262385,1417.6502626274091,153.8703526894679,26.860375712681172,50,25000,6,8372552
2,182.30691643187558,68.08890671666794,125.19791157427176,120.29310547610095,120.29310547610095,1877.9686736140764,902.1982910707571,42.79378041258412,50,25000,8,9535879
18,121.75443024662259,179.34654506109607,338.8852231448615,1544.3409045521337,90.84358262071375,2258.25731480789,11582.556784141003,534.985592854357,50,50000,2,4474730
16,392.9209138733534,233.7208030273099,335.5018828214862,1630.8993138265664,108.7266209217711,4699.812876754975,12231.744853699249,472.88287193716377,50,50000,2,4474730
19,401.5239844985966,107.88394399518006,385.22674057108196,1780.5295451599793,98.9183080644433,3820.5594637033246,13353.971588699846,446.17529884589356,50,50000,2,9944578
15,541.5831339200857,178.28375377544987,354.5924872511578,1764.0642657113137,126.00459040795099,5399.001657716517,13230.481992834853,412.07099559375877,50,50000,2,9944578
