M,Emax,K,n_chains,n,d_first,d_last,d_mean,hop,E_excursion,E_tour,E_hover
100,100000,2,16,22.5,344.63899355581066,122.07948543166123,360.83547582748525,81.3176208091817,3500.3885924060387,13028.530556611071,668.9846739709569
100,100000,3,24,21.458333333333332,396.8321808142038,111.18449080240923,369.3621788068586,84.94257882091227,3810.1250371245974,12895.089677044029,631.3831672887865
100,100000,4,32,20.28125,361.82637547921644,123.71740707174823,373.4784829438352,90.41949593417267,3641.578369132235,12738.644225006003,584.7709520689734
100,100000,5,40,18.55,371.5366192900768,126.51327527522366,375.9022084762195,99.54040384263135,3735.374209239753,12764.889509034749,529.4086784730773
100,100000,6,48,15.666666666666666,363.18346553435777,136.6652087334384,372.25833361483086,105.95740071354645,3748.8650570084706,11308.902632848874,449.7278304033129
100,100000,8,64,10.75,412.10622124920627,150.62867688870287,366.24403524476315,105.01243827906958,4220.511736034318,7372.358178807929,308.98490791494305
100,100000,10,80,7.725,395.51190180071774,168.5662103054605,357.5854089216433,111.60805958716617,4230.585840796337,5245.743510870736,223.1630285634953
200,25000,2,16,18.75,293.1064479663881,80.4187358959116,312.2932021881521,72.22811080247004,2801.4388789672475,9145.814285131124,534.311353727153
200,25000,3,24,9.958333333333334,279.90797338874455,80.33858715621696,267.0265922370943,85.05837857247325,2701.849204087212,5333.093213146066,279.6050754303598
200,25000,4,32,7.0,241.13800177215114,94.61431994494274,209.5196442132798,80.49593549365444,2518.142412878204,3466.706879088595,202.5724944667815
200,25000,5,40,5.15,213.72207641591757,93.08999028157697,185.324431864193,87.74627697365466,2301.0905002312093,2487.18825018582,144.03403846219047
200,25000,6,48,4.104166666666667,193.38433587418922,95.26250765896202,164.11284622954395,93.92668018296767,2164.851326498634,1761.95843872572,116.08809388183731
200,25000,8,53,2.547169811320755,164.45816361456116,96.62375585891849,133.001367187484,75.77494329296175,1958.1143960510974,783.9977506966034,73.87590820153122
200,25000,10,24,2.125,131.0051071075018,79.53627774579607,105.20287625254059,72.623756338851,1579.0603863997342,579.182272956892,65.19949910998191
200,50000,2,16,33.25,436.15270925196046,78.79676396693304,347.01804535967455,56.39166068654902,3862.1210491417014,13478.749201895673,929.6482902367878
200,50000,3,24,28.208333333333332,311.1411264238215,78.2125731143109,352.6026782429344,64.54995666675644,2920.1527465359927,12928.612864704215,780.1158436534103
200,50000,4,32,18.125,278.08297475394704,93.8292454625682,332.2147412677658,73.36992453635648,2789.341651623864,9171.300113577068,516.8608490032033
200,50000,5,40,12.95,291.34911611301237,92.85808297836495,317.5703975948368,78.07135023691258,2881.55399318533,6719.618245921563,370.4367435541911
200,50000,6,48,9.270833333333334,319.308556737095,114.65936702507383,297.901619855688,83.57901231321868,3254.759428216266,4790.369164045601,268.71190423305296
200,50000,8,64,6.015625,283.3406382017499,116.4895205777777,241.09944026635839,89.26463444593082,2998.726190846457,3010.7461963611163,169.87385931545873
200,50000,10,79,4.417721518987341,245.93363806428215,119.02608296385915,208.55471178504308,85.89330629875424,2737.1979077110595,2003.5288103902476,123.64684418590689
200,100000,2,16,33.1875,442.192330263513,78.79676396693304,346.67918165339466,56.11318573983381,3907.4182067283455,13383.982447251405,928.845606238502
200,100000,3,24,32.041666666666664,407.2053378892812,78.2125731143109,360.4176980257889,58.77580882618056,3640.6343325269404,13488.34534814053,890.2120642374206
200,100000,4,32,30.71875,428.13211590432456,90.03471390889754,366.93327706056664,59.94716114221053,3886.251223599166,13248.202782974804,869.566041805648
200,100000,5,40,29.45,406.25769648844044,87.34394265251606,376.13135192280185,62.52835317487129,3702.0122935571735,13171.520335852081,831.1558755418835
200,100000,6,48,26.041666666666668,326.27700737668744,96.48915099668754,370.5228636381901,68.30509796808346,3170.7461878003123,12560.753158241985,737.4519702492777
200,100000,8,64,16.515625,317.08152289803877,112.91799017043124,359.87987537890257,77.03124983945875,3224.9963480135243,8687.56286244644,463.92658305324096
200,100000,10,80,11.075,365.09540018517913,121.06179675225599,346.42577817360564,84.73007900612981,3646.1789770307632,6005.178514122206,310.6795608177337
400,25000,2,16,24.6875,313.9294952196353,57.44978332189345,276.09132426215376,52.80842413799505,2785.3445890614657,9064.211442019987,642.4758517385769
400,25000,3,24,14.041666666666666,232.3920478748299,57.30317507065936,236.66232070077956,62.0268962215766,2172.7141720911695,5785.944200957652,362.3544019854812
400,25000,4,32,9.0,211.0909820798728,74.53402960494512,210.2886878091012,71.31873115304128,2142.1875876361346,3862.7180612909547,231.50672682604466
400,25000,5,40,7.075,185.9985546145617,71.92610082800839,174.45257212371817,69.02142041332915,1934.4349158192756,2856.4170703033383,183.34130628680762
400,25000,6,48,6.041666666666667,165.79629563086394,79.11663115932141,155.33132808141792,63.93941963806072,1836.8469509263898,2124.625804655436,163.1590607424682
400,25000,8,60,3.9833333333333334,153.69341799623103,71.96794283251259,124.62491963083502,61.722635640307004,1692.4602062155777,1202.761748240641,103.72176624927212
400,25000,10,64,2.8125,128.11904897044425,69.55780016313383,100.49991886756084,51.167357860790794,1482.576368501836,642.4328857106357,73.28572114061761
400,50000,2,16,47.5,436.8939220691432,41.47043766233233,339.81864707890225,39.022009354759206,3587.732697986066,13563.48102563471,1292.697504580103
400,50000,3,24,38.125,385.656528709733,50.04721985294834,345.7725081566296,44.88150564043334,3267.7781142201097,12343.469893954525,1023.3552622497308
400,50000,4,32,22.8125,338.6556418239762,65.25259924952975,308.1291419969965,55.2588965335433,3029.311808051295,8856.616952484626,605.2779485802248
400,50000,5,40,15.5,334.07323190808296,67.892936532204,291.96593808280517,61.91999275498176,3014.7462633021523,6562.437779426675,413.52209391294855
400,50000,6,48,12.208333333333334,251.29829596290855,80.73194116589104,268.022799340554,68.97480006954733,2490.2267784659966,5515.78869577212,315.77524782639983
400,50000,8,64,8.140625,235.87414424599822,95.65587816143592,227.56909967306024,72.1257071168683,2486.475168055756,3531.9255308855077,211.0696858192379
400,50000,10,80,6.0,224.39998800783852,95.14737204626246,195.87700916435176,75.24962287006763,2396.6052004057574,2406.0078842093058,155.31011339412925
400,100000,2,16,47.5,436.8939220691432,41.47043766233233,339.81864707890225,39.022009354759206,3587.732697986066,13563.48102563471,1292.697504580103
400,100000,3,24,45.875,434.8141786008341,50.04721985294834,364.3711680566218,40.461412821026016,3636.460488403369,13549.943312133712,1248.5408933128235
400,100000,4,32,45.46875,416.4062816979705,59.96283588460261,364.96100345455017,40.43713209769568,3572.7683818692985,13415.411552791142,1232.410394737612
400,100000,5,40,44.275,418.4287584627198,63.997495375577884,370.529703207805,41.51547016060956,3618.196903787233,13379.343370741763,1193.649719926297
400,100000,6,48,37.6875,354.23791651448965,69.76182741314393,367.3627326603483,45.72805421024222,3179.9980794572516,12392.23724264851,1015.4212228404391
400,100000,8,64,22.03125,330.85625500376796,82.08980957333577,352.3721297991038,57.06645793562541,3097.095484328278,8798.661920757735,588.8460900526612
400,100000,10,80,14.5625,352.08465967595527,102.65856997499993,332.42743927018256,64.62504139009141,3410.574222382164,6188.290520137083,386.98713193403466
